ROIs_name,Values
area_32-lh,0.171774633
area_25-lh,0.649431847
area_24a_b-lh,0.994227483
area_24c-lh,-0.524127815
area_24a_b_prime-lh,-0.91778941
area_24c_prime-lh,-0.432995534
area_10-lh,-0.49541353
area_11-lh,-0.365334858
area_13-lh,-0.748391808
area_12m_o-lh,0.971984261
Iam_Iapm-lh,0.287053976
lat_Ia-lh,-0.24888359
OLF-lh,0.888193571
G-lh,-0.034163698
PrCO-lh,-0.530821848
area_8A-lh,0.76858823
area_8B-lh,0.572860116
area_9-lh,-0.571506551
area_46d-lh,0.468596452
area_46v_f-lh,0.819488142
area_12r_l-lh,0.62525302
area_45-lh,0.076022213
area_44-lh,-0.69045389
M1-lh,-0.778547527
PMd-lh,0.47230144
PMv-lh,-0.547160865
preSMA-lh,-0.400809689
SMA-lh,0.853256245
area_3a_b-lh,0.409212979
areas_1-2-lh,0.358216167
SII-lh,-0.275145901
V6-lh,0.394609589
V6A-lh,0.748559664
area_5d-lh,-0.726050812
PEa-lh,-0.3151305
MIP-lh,-0.935522966
fundus_IPS-lh,0.828862481
AIP-lh,-0.227459384
LIP-lh,0.281858376
LOP-lh,0.503160957
MST-lh,-0.290508393
area_7a_b-lh,-0.94236843
area_7op-lh,-0.410708403
area_7m-lh,0.998612502
area_31-lh,-0.517820007
area_23-lh,0.060108809
area_v23-lh,0.709318366
area_29-lh,-0.489045514
area_30-lh,0.056780808
TF_TFO-lh,-0.504377189
caudal_ERh-lh,-0.793610444
mid_ERh-lh,-0.017847298
rostral_ERh-lh,0.817917227
area_36-lh,0.534063464
TGa-lh,0.100434845
TGd-lh,0.431907663
TGg-lh,0.507797714
TEO-lh,-0.762290268
post_TE-lh,0.818079842
ant_TE-lh,-0.105468492
TE_in_STSv-lh,0.893494491
ant_STSf-lh,-0.925197008
FST-lh,-0.821537389
TPO-lh,0.443786468
TAa-lh,-0.065066042
STGr-lh,-0.202868071
Tpt-lh,0.332169585
parabelt-lh,0.571239769
CL_ML-lh,-0.536103324
AL_RTL-lh,-0.059443771
CM-lh,-0.740960688
RM_RTM-lh,-0.597389496
RTp-lh,0.264016042
R_RT-lh,0.527566692
AI-lh,-0.04522129
Pi-lh,0.850029315
Ins-lh,-0.632021642
Ri-lh,0.843223124
MT-lh,-0.093448545
V4d-lh,-0.721534751
V4v-lh,0.93718097
V3d_V3A-lh,-0.345305137
V3v-lh,-0.988588302
V2-lh,0.886413823
V1-lh,0.000307758
area_32-rh,-0.71589596
area_25-rh,-0.918384377
area_24a_b-rh,0.115757845
area_24c-rh,0.883278004
area_24a_b_prime-rh,0.901402486
area_24c_prime-rh,-0.79514456
area_10-rh,0.319409332
area_11-rh,-0.465287221
area_13-rh,0.937769493
area_12m_o-rh,-0.035810708
Iam_Iapm-rh,0.073179798
lat_Ia-rh,-0.432033484
OLF-rh,0.311502264
G-rh,-0.920116185
PrCO-rh,-0.103186066
area_8A-rh,0.953428982
area_8B-rh,0.877938829
area_9-rh,-0.264202505
area_46d-rh,-0.342653171
area_46v_f-rh,-0.078751125
area_12r_l-rh,0.066599135
area_45-rh,0.942641501
area_44-rh,-0.371254071
M1-rh,-0.282335222
PMd-rh,0.631398858
PMv-rh,0.82204948
preSMA-rh,-0.032223933
SMA-rh,-0.24580871
area_3a_b-rh,0.053861268
areas_1-2-rh,-0.069456163
SII-rh,-0.535216272
V6-rh,-0.801075199
V6A-rh,0.371904445
area_5d-rh,-0.216409074
PEa-rh,0.2937019
MIP-rh,0.034345194
fundus_IPS-rh,-0.435931542
AIP-rh,-0.116683769
LIP-rh,-0.799266028
LOP-rh,0.590823195
MST-rh,0.404096456
area_7a_b-rh,0.857856004
area_7op-rh,-0.124628748
area_7m-rh,0.843913915
area_31-rh,0.542585669
area_23-rh,0.439077399
area_v23-rh,-0.351570729
area_29-rh,0.55422059
area_30-rh,-0.511890958
TF_TFO-rh,0.516168625
TH-rh,-0.242368618
caudal_ERh-rh,-0.263208598
mid_ERh-rh,-0.813882174
rostral_ERh-rh,-0.821190001
area_36-rh,-0.493539327
TGa-rh,-0.306257512
TGd-rh,0.952151895
TGg-rh,-0.848164422
TEO-rh,-0.853186607
post_TE-rh,0.843844275
ant_TE-rh,-0.459721957
TE_in_STSv-rh,-0.798146332
ant_STSf-rh,0.246177331
FST-rh,0.813969159
TPO-rh,0.940240952
TAa-rh,0.285582243
STGr-rh,0.368077211
Tpt-rh,-0.619986802
parabelt-rh,0.611167001
CL_ML-rh,0.882176776
AL_RTL-rh,0.626303422
CM-rh,0.815668294
RM_RTM-rh,0.822919927
RTp-rh,0.076277427
R_RT-rh,0.086769856
AI-rh,-0.622782289
Pi-rh,0.24238346
Ins-rh,0.058772498
Ri-rh,-0.701431566
MT-rh,-0.289933122
V4d-rh,0.657723104
V4v-rh,-0.872104573
V3d_V3A-rh,-0.433159816
V3v-rh,0.937199025
V2-rh,-0.875396798
V1-rh,-0.697936897
