ROIs_name,Values
lh_A8m,0.849315996
lh_A8dl,0.048660999
lh_A9l,0.435890806
lh_A6dl,0.032865974
lh_A6m,0.77776549
lh_A9m,-0.152606118
lh_A10m,0.435453138
lh_A9/46d,0.304934529
lh_IFJ,-0.452394193
lh_A46,-0.106213952
lh_A9/46v,0.152715245
lh_A8vl,0.359665619
lh_A6vl,0.957226619
lh_A10l,-0.945018899
lh_A44d,0.05443372
lh_IFS,-0.359666457
lh_A45c,-0.951993423
lh_A45r,0.229157725
lh_A44op,-0.893111349
lh_A44v,0.592192225
lh_A14m,0
lh_A12/47o,0.392752123
lh_A11l,-0.745286605
lh_A11m,0.740840748
lh_A13,-0.974961785
lh_A12/47l,-0.551750806
lh_A4hf,-0.787616119
lh_A6cdl,0.987474713
lh_A4ul,-0.840477008
lh_A4t,0.376658198
lh_A4tl,0.742142432
lh_A6cvl,-0.665545038
lh_A1/2/3ll,0.560530069
lh_A4ll,-0.575719152
lh_A38m,0.383472431
lh_A41/42,0.393503357
lh_TE1.0/TE1.2,-0.150677321
lh_A22c,0.488162564
lh_A38l,0.294017587
lh_A22r,-0.15703419
lh_A21c,-0.283826803
lh_A21r,-0.861963215
lh_A37dl,-0.769864549
lh_aSTS,-0.725845942
lh_A20iv,0.488121198
lh_A37elv,0.898441833
lh_A20r,-0.05342202
lh_A20il,0.190211557
lh_A37vl,0.948937511
lh_A20cl,0.805533688
lh_A20cv,-0.291157332
lh_A20rv,0.77040316
lh_A37mv,-0.175171625
lh_A37lv,-0.57812935
lh_A35/36r,0.02736185
lh_A35/36c,0.43047244
lh_TL,0.659728377
lh_A28/34,-0.681854914
lh_TI,0.58228147
lh_TH,-0.71656358
lh_rpSTS,-0.596539098
lh_cpSTS,0.5185138
lh_A7r,0.165878443
lh_A7c,0.030437753
lh_A5l,0.471335591
lh_A7pc,0.018272235
lh_A7ip,-0.152474186
lh_A39c,0.231376395
lh_A39rd,0.914910902
lh_A40rd,0.972511124
lh_A40c,-0.448906476
lh_A39rv,-0.982610533
lh_A40rv,-0.097641951
lh_A7m,0.737311485
lh_A5m,-0.674703867
lh_dmPOS,0.944772557
lh_A31,-0.966728832
lh_A1/2/3ulhf,-0.936824583
lh_A1/2/3tonIa,-0.550092799
lh_A2,-0.207473265
lh_A1/2/3tru,-0.818833969
lh_G,-0.961170122
lh_vIa,0.279561861
lh_dIa,0.25091133
lh_vId/vIg,0.634981686
lh_dIg,-0.916816634
lh_dId,-0.369258588
lh_A23d,-0.247810635
lh_A24rv,-0.767235864
lh_A32p,0.083255172
lh_A23v,-0.943915225
lh_A24cd,-0.643111203
lh_A23c,0.101217751
lh_A32sg,0.737053732
lh_cLinG,-0.995630551
lh_rCunG,-0.695432755
lh_cCunG,0.716094982
lh_rLinG,-0.469967101
lh_vmPOS,0.520301071
lh_mOccG,0.429113139
lh_V5/MT+,-0.015283241
lh_OPC,0.991170356
lh_iOccG,0.123080363
lh_msOccG,0.721517923
lh_lsOccG,-0.41659568
rh_A8m,-0.277595447
rh_A8dl,-0.689027207
rh_A9l,-0.532138345
rh_A6dl,0.074315597
rh_A6m,-0.029273942
rh_A9m,-0.044728849
rh_A10m,0.257035153
rh_A9/46d,-0.091160575
rh_IFJ,-0.861682077
