ROIs_name,Values
lh_area_32,0.032865974
lh_area_25,0.77776549
lh_area_24a_b,-0.152606118
lh_area_24c,0.435453138
lh_area_24a_b_prime,0.304934529
lh_area_24c_prime,-0.452394193
lh_area_10,0
lh_area_14,0.152715245
lh_area_11,0.359665619
lh_area_13,0.957226619
lh_area_12m_o,-0.945018899
lh_Iam_Iapm,0.05443372
lh_lat_Ia,-0.359666457
lh_OLF,-0.951993423
lh_G,0.05443372
lh_PrCO,-0.359666457
lh_area_8A,-0.951993423
lh_area_8B,0.229157725
lh_area_9,-0.893111349
lh_area_46d,0.592192225
lh_area_46v_f,0.732831656
lh_area_12r_l,0.392752123
lh_area_45,-0.745286605
lh_area_44,0.740840748
lh_M1,-0.974961785
lh_PMd,-0.551750806
lh_PMv,-0.787616119
lh_preSMA,0.987474713
lh_SMA,-0.840477008
lh_area_3a_b,0.376658198
lh_areas_1_2,0.742142432
lh_SII,-0.665545038
lh_V6,0.560530069
lh_V6A,-0.575719152
lh_area_5d,0.383472431
lh_PEa,0.393503357
lh_MIP,-0.150677321
lh_fundus_IPS,0.488162564
lh_AIP,0.294017587
lh_LIP,-0.15703419
lh_LOP,-0.283826803
lh_MST,-0.861963215
lh_area_7a_b,-0.769864549
lh_area_7op,-0.725845942
lh_area_7m,0.488121198
lh_area_31,0.898441833
lh_area_23,-0.05342202
lh_area_v23,0.190211557
lh_area_29,0.948937511
lh_area_30,0.805533688
lh_TF_TFO,-0.291157332
lh_TH,0.77040316
lh_caudal_ERh,-0.175171625
lh_mid_ERh,-0.57812935
lh_rostral_ERh,0.02736185
lh_area_35,0.43047244
lh_area_36,0.659728377
lh_TGa,-0.681854914
lh_TGd,0.58228147
lh_TGg,-0.71656358
lh_TEO,-0.596539098
lh_post_TE,0.5185138
lh_ant_TE,0.165878443
lh_TE_in_STSv,0.030437753
lh_ant_STSf,0.471335591
lh_FST,0.018272235
lh_TPO,-0.152474186
lh_TAa,0.231376395
lh_STGr,0.914910902
lh_Tpt,0.972511124
lh_parabelt,-0.448906476
lh_CL_ML,-0.982610533
lh_AL_RTL,-0.097641951
lh_CM,0.737311485
lh_RM_RTM,-0.674703867
lh_RTp,0.944772557
lh_R_RT,-0.966728832
lh_AI,-0.936824583
lh_Pi,-0.550092799
lh_Ins,-0.207473265
lh_Ri,-0.818833969
lh_MT,-0.961170122
lh_V4d,0.279561861
lh_V4v,0.25091133
lh_V3d_V3A,0.634981686
lh_V3v,-0.916816634
lh_V2,-0.369258588
lh_V1,-0.247810635
rh_area_32,0.991170356
rh_area_25,0.123080363
rh_area_24a_b,0.721517923
rh_area_24c,-0.41659568
rh_area_24a_b_prime,-0.277595447
rh_area_24c_prime,-0.689027207
rh_area_10,-0.532138345
rh_area_14,0.074315597
rh_area_11,-0.029273942
rh_area_13,-0.044728849
rh_area_12m_o,0.257035153
rh_Iam_Iapm,-0.091160575
rh_lat_Ia,-0.861682077
rh_OLF,-0.968611996
rh_G,0.038428762
rh_PrCO,-0.276983242
rh_area_8A,-0.530690782
rh_area_8B,-0.53308972
rh_area_9,0.308660933
rh_area_46d,-0.921302614
rh_area_46v_f,-0.964709648
rh_area_12r_l,0.338467418
rh_area_45,-0.233973193
rh_area_44,-0.861118749
rh_M1,-0.38836188
rh_PMd,0.504048213
rh_PMv,-0.918678242
rh_preSMA,0
rh_SMA,0
rh_area_3a_b,0
rh_areas_1_2,0
rh_SII,0
rh_V6,0
rh_V6A,0
rh_area_5d,0
rh_PEa,0
rh_MIP,0
rh_fundus_IPS,0
rh_AIP,0
rh_LIP,0
rh_LOP,0
rh_MST,0
rh_area_7a_b,0
rh_area_7op,0
rh_area_7m,0
rh_area_31,0
rh_area_23,0
rh_area_v23,0
rh_area_29,0
rh_area_30,0
rh_TF_TFO,-0.904245677
rh_TH,-0.347066908
rh_caudal_ERh,0.76687021
rh_mid_ERh,-0.952269828
rh_rostral_ERh,-0.602380602
rh_area_35,0.00785206
rh_area_36,-0.267522138
rh_TGa,0.154278195
rh_TGd,0.404405082
rh_TGg,-0.388757738
rh_TEO,0.267353251
rh_post_TE,0.987786839
rh_ant_TE,-0.312543633
rh_TE_in_STSv,0.259841223
rh_ant_STSf,0.726030351
rh_FST,-0.530690782
rh_TPO,-0.53308972
rh_TAa,0.308660933
rh_STGr,-0.921302614
rh_Tpt,-0.964709648
rh_parabelt,0.338467418
rh_CL_ML,-0.233973193
rh_AL_RTL,-0.861118749
rh_CM,-0.38836188
rh_RM_RTM,0.504048213
rh_RTp,-0.918678242
rh_R_RT,0.946020845
rh_AI,0.332734939
rh_Pi,0.288870083
rh_Ins,0.188882385
rh_Ri,-0.563842618
rh_MT,-0.942637927
rh_V4d,0.733661074
rh_V4v,-0.136769197
rh_V3d_V3A,0.709440722
rh_V3v,0.581760437
rh_V2,0.56458555
rh_V1,0.770576128
