ROIs_name,Values
lh_V1,0.849315996
lh_MST,0.048660999
lh_V6,0.435890806
lh_V2,0.032865974
lh_V3,0.77776549
lh_V4,-0.152606118
lh_V8,0.435453138
lh_4,0.304934529
lh_3b,-0.452394193
lh_FEF,-0.106213952
lh_PEF,0.152715245
lh_55b,0.359665619
lh_V3A,0.957226619
lh_RSC,-0.945018899
lh_POS2,0.05443372
lh_V7,-0.359666457
lh_IPS1,-0.951993423
lh_FFC,0.229157725
lh_V3B,-0.893111349
lh_LO1,0.592192225
lh_LO2,0.732831656
lh_PIT,0.392752123
lh_MT,-0.745286605
lh_A1,0.740840748
lh_PSL,-0.974961785
lh_SFL,-0.551750806
lh_PCV,-0.787616119
lh_STV,0.987474713
lh_7Pm,-0.840477008
lh_7m,0.376658198
lh_POS1,0.742142432
lh_23d,-0.665545038
lh_v23ab,0.560530069
lh_d23ab,-0.575719152
lh_31pv,0.383472431
lh_5m,0.393503357
lh_5mv,-0.150677321
lh_23c,0.488162564
lh_5L,0.294017587
lh_24dd,-0.15703419
lh_24dv,-0.283826803
lh_7AL,-0.861963215
lh_SCEF,-0.769864549
lh_6ma,-0.725845942
lh_7Am,0.488121198
lh_7PL,0.898441833
lh_7PC,-0.05342202
lh_LIPv,0.190211557
lh_VIP,0.948937511
lh_MIP,0.805533688
lh_1,-0.291157332
lh_2,0.77040316
lh_3a,-0.175171625
lh_6d,-0.57812935
lh_6mp,0.02736185
lh_6v,0.43047244
lh_p24pr,0.659728377
lh_33pr,-0.681854914
lh_a24pr,0.58228147
lh_p32pr,-0.71656358
lh_a24,-0.596539098
lh_d32,0.5185138
lh_8BM,0.165878443
lh_p32,0.030437753
lh_10r,0.471335591
lh_47m,0.018272235
lh_8Av,-0.152474186
lh_8Ad,0.231376395
lh_9m,0.914910902
lh_8BL,0.972511124
lh_9p,-0.448906476
lh_10d,-0.982610533
lh_8C,-0.097641951
lh_44,0.737311485
lh_45,-0.674703867
lh_47l,0.944772557
lh_a47r,-0.966728832
lh_6r,-0.936824583
lh_IFJa,-0.550092799
lh_IFJp,-0.207473265
lh_IFSp,-0.818833969
lh_IFSa,-0.961170122
lh_p9-46v,0.279561861
lh_46,0.25091133
lh_a9-46v,0.634981686
lh_9-46d,-0.916816634
lh_9a,-0.369258588
lh_10v,-0.247810635
lh_a10p,-0.767235864
lh_10pp,0.083255172
lh_11l,-0.943915225
lh_13l,-0.643111203
lh_OFC,0.101217751
lh_47s,0.737053732
lh_LIPd,-0.995630551
lh_6a,-0.695432755
lh_i6-8,0.716094982
lh_s6-8,-0.469967101
lh_43,0.520301071
lh_OP4,0.429113139
lh_OP1,-0.015283241
lh_OP2-3,0.991170356
lh_52,0.123080363
lh_RI,0.721517923
lh_PFcm,-0.41659568
lh_PoI2,-0.277595447
lh_TA2,-0.689027207
lh_FOP4,-0.532138345
